Ancestry,Number Of People,Percentage,Suburb
English,2387,21.4,Abbotsford
Australian,1794,16.1,Abbotsford
Irish,1171,10.5,Abbotsford
Chinese,838,7.5,Abbotsford
Scottish,814,7.3,Abbotsford
English,2289,20,Collingwood
Australian,1716,15,Collingwood
Irish,1061,9.3,Collingwood
Scottish,751,6.6,Collingwood
Chinese,612,5.3,Collingwood
English,7258,21.7,Kew
Australian,5979,17.9,Kew
Chinese,3390,10.2,Kew
Irish,3373,10.1,Kew
Scottish,2302,6.9,Kew
English,8536,22.6,Richmond
Australian,5981,15.8,Richmond
Irish,3916,10.4,Richmond
Scottish,2726,7.2,Richmond
Chinese,2203,5.8,Richmond
English,1708,24.7,East Melbourne
Australian,1209,17.5,East Melbourne
Irish,825,11.9,East Melbourne
Scottish,610,8.8,East Melbourne
Italian,277,4,East Melbourne
English,3144,35,Yarra - North
Australian,2456,28,Yarra - North
Irish,1516,17,Yarra - North
Scottish,1072,12,Yarra - North
Italian,697,8,Yarra - North
English,"7,295",22.6,Hawthorn
Australian,"5,722",17.7,Hawthorn
Irish,"3,237",10,Hawthorn
Scottish,"2,602",8.1,Hawthorn
Chinese,"2,344",7.3,Hawthorn
